@RELATION walk
 @ATTRIBUTE	stepValleyCount REAL
 @ATTRIBUTE	averageX REAL
 @ATTRIBUTE	stddevX REAL
 @ATTRIBUTE	averageZ REAL
 @ATTRIBUTE	stddevZ REAL
 @ATTRIBUTE	mountValleyY REAL
 @ATTRIBUTE	averageLpfDeltaY REAL
 @ATTRIBUTE	slopeZ REAL
 @ATTRIBUTE	averageLpfAbsX REAL
 @ATTRIBUTE	stddevRadianXY REAL
 @ATTRIBUTE	stddevRadianXZ REAL
 @ATTRIBUTE	stddevRadianLpfXY REAL
 @ATTRIBUTE	stddevRadianLpfXZ REAL
 @ATTRIBUTE	averageXStepAve REAL
 @ATTRIBUTE	averageZStepAve REAL
 @ATTRIBUTE	stddevXStepAve REAL
 @ATTRIBUTE	stddevZStepAve REAL
 @ATTRIBUTE	averageDeltaYStepAve REAL
 @ATTRIBUTE	mountValleyYStepAve REAL
 @ATTRIBUTE	averageLpfDeltaYStepAve REAL
 @ATTRIBUTE	mountValleyLpfYStepAve REAL
 @ATTRIBUTE	averageLpfAbsXStepAve REAL
 @ATTRIBUTE	slopeZStepAve REAL
 @ATTRIBUTE	averageRadianXYStepAve REAL
 @ATTRIBUTE	averageRadianXZStepAve REAL
 @ATTRIBUTE	stddevRadianXYStepAve REAL
 @ATTRIBUTE	stddevRadianXZStepAve REAL
 @ATTRIBUTE	averageRadianLpfXYStepAve REAL
 @ATTRIBUTE	averageRadianLpfXZStepAve REAL
 @ATTRIBUTE	stddevRadianLpfXYStepAve REAL
 @ATTRIBUTE	stddevRadianLpfXZStepAve REAL
 @ATTRIBUTE	averageXStepDev REAL
 @ATTRIBUTE	averageZStepDev REAL
 @ATTRIBUTE	stddevXStepDev REAL
 @ATTRIBUTE	stddevZStepDev REAL
 @ATTRIBUTE	averageDeltaYStepDev REAL
 @ATTRIBUTE	mountValleyYStepDev REAL
 @ATTRIBUTE	averageLpfDeltaYStepDev REAL
 @ATTRIBUTE	mountValleyLpfYStepDev REAL
 @ATTRIBUTE	averageLpfAbsXStepDev REAL
 @ATTRIBUTE	slopeZStepDev REAL
 @ATTRIBUTE	averageRadianXYStepDev REAL
 @ATTRIBUTE	averageRadianXZStepDev REAL
 @ATTRIBUTE	stddevRadianXYStepDev REAL
 @ATTRIBUTE	stddevRadianXZStepDev REAL
 @ATTRIBUTE	averageRadianLpfXYStepDev REAL
 @ATTRIBUTE	averageRadianLpfXZStepDev REAL
 @ATTRIBUTE	stddevRadianLpfXYStepDev REAL
 @ATTRIBUTE	stddevRadianLpfXZStepDev REAL
@ATTRIBUTE	class{gani,suri,sayu,neko,uchi,noke,futs}
@DATA
8,-0.003325,0.078533,-0.114226,0.10952,0.058058,0.00005,-0.000061,0.051526,0.076873,0.731571,0.05936,0.563517,0.000337,-0.12787,0.088925,0.118637,0.000319,0.080425,-0.000092,0.054793,0.050385,0.002563,1.569852,1.63561,0.086942,0.766432,1.58758,1.65387,0.069132,0.564153,0.014126,0.189071,0.014833,0.012261,0.000373,0.00874,0.000373,0.038166,0.00797,0.000463,0.016417,0.220161,0.013585,0.049122,0.014879,0.206817,0.006642,0.056457,suri
10,-0.002891,0.085083,-0.118769,0.114237,0.063457,0.000061,-0.00006,0.051445,0.079183,0.71463,0.060827,0.574206,0.003422,-0.113244,0.089136,0.11497,0.000049,0.072816,0.000042,0.054821,0.051093,0.003062,1.567548,1.579416,0.08244,0.750598,1.586224,1.596188,0.069723,0.574272,0.014543,0.203537,0.00791,0.012309,0.000608,0.017695,0.000608,0.04703,0.006156,0.000505,0.016376,0.268271,0.007919,0.084111,0.015494,0.257876,0.003827,0.075478,suri
10,-0.002848,0.085417,-0.115416,0.109833,0.066882,0.00006,-0.000062,0.048063,0.079049,0.735058,0.057364,0.60523,0.005622,-0.111917,0.089477,0.117044,0.000169,0.075376,0.000005,0.056969,0.047741,0.002887,1.564977,1.535893,0.082233,0.801707,1.583319,1.556458,0.065199,0.601318,0.01638,0.193877,0.011467,0.010048,0.000286,0.012929,0.000286,0.040201,0.006082,0.000463,0.017681,0.344159,0.010867,0.061926,0.018456,0.342143,0.005269,0.044679,suri
10,-0.003747,0.080914,-0.126009,0.10678,0.063682,0.000047,-0.00006,0.046711,0.076221,0.679974,0.057109,0.563448,0.00445,-0.118183,0.08443,0.111411,0.000089,0.083873,0.000038,0.0541,0.045638,0.00267,1.566845,1.60431,0.079419,0.716985,1.584572,1.624438,0.06294,0.515042,0.022063,0.232411,0.009053,0.008418,0.000393,0.0167,0.000393,0.045689,0.004954,0.000466,0.023191,0.34345,0.008893,0.058211,0.021598,0.332558,0.003841,0.097702,suri
10,-0.002112,0.086156,-0.11817,0.110836,0.064361,-0.000038,-0.000034,0.045167,0.081903,0.692086,0.057157,0.520579,0.001718,-0.125327,0.093583,0.111244,-0.000089,0.078433,-0.000028,0.053551,0.046132,0.002582,1.568258,1.646513,0.088755,0.719695,1.585066,1.661981,0.065505,0.509879,0.019249,0.247798,0.019102,0.012494,0.000333,0.014923,0.000333,0.04319,0.00832,0.000621,0.019626,0.265151,0.017951,0.073951,0.01599,0.254325,0.0085,0.078395,suri
11,-0.003156,0.082616,-0.125542,0.115145,0.065385,0.000053,-0.000022,0.046651,0.076488,0.678866,0.059676,0.545789,0.001795,-0.133652,0.089945,0.117842,-0.000105,0.082238,0.000015,0.05709,0.047173,0.002981,1.569258,1.575717,0.082524,0.691809,1.586871,1.593965,0.066757,0.488716,0.027187,0.355993,0.011158,0.011158,0.000494,0.013232,0.000494,0.038344,0.008742,0.000287,0.027291,0.310589,0.010859,0.097765,0.024138,0.301389,0.006316,0.121219,suri
10,-0.002953,0.090011,-0.136584,0.11286,0.058065,0.000082,-0.000032,0.052804,0.082689,0.702813,0.060481,0.562115,0.008086,-0.141401,0.092411,0.109331,0.000006,0.082032,0.000015,0.047747,0.052697,0.003054,1.562729,1.555743,0.084641,0.717284,1.581204,1.576873,0.067077,0.537178,0.024437,0.351783,0.015843,0.012416,0.000314,0.014499,0.000314,0.042571,0.007757,0.000285,0.024536,0.333633,0.014512,0.044975,0.021506,0.317009,0.005187,0.06675,suri
10,-0.00312,0.083529,-0.114304,0.112323,0.063694,0.000061,-0.000051,0.051364,0.078356,0.7318,0.061532,0.6116,0.004895,-0.118934,0.085906,0.113181,-0.000161,0.084294,0.000059,0.055277,0.049872,0.002883,1.566309,1.555759,0.080325,0.759262,1.583974,1.573335,0.068033,0.573251,0.018443,0.220672,0.015406,0.012648,0.000354,0.011111,0.000354,0.037268,0.008492,0.000408,0.019867,0.332032,0.013983,0.077316,0.019892,0.332827,0.005609,0.062341,suri
10,0.001478,0.082317,-0.133107,0.105636,0.060939,0.000068,-0.000023,0.047878,0.078125,0.663549,0.05455,0.530909,0.00442,-0.131037,0.088918,0.117641,-0.000054,0.076356,-0.000026,0.049384,0.046769,0.002802,1.565475,1.575067,0.084316,0.749367,1.58319,1.59563,0.063568,0.538351,0.019589,0.282639,0.019451,0.012116,0.00069,0.007986,0.00069,0.031596,0.010869,0.000483,0.020835,0.348538,0.01871,0.083467,0.017488,0.335434,0.008727,0.107424,suri
10,-0.004773,0.083725,-0.108,0.114774,0.06559,0.000047,-0.000077,0.05147,0.075226,0.684889,0.063152,0.591809,-0.000856,-0.118178,0.090989,0.121342,-0.000171,0.080736,0.000046,0.056611,0.051287,0.003216,1.572649,1.684146,0.081232,0.740879,1.591272,1.70519,0.067745,0.525525,0.026288,0.21848,0.012067,0.011958,0.000398,0.012339,0.000398,0.039273,0.008715,0.000484,0.02712,0.335711,0.009527,0.074998,0.025714,0.324198,0.006162,0.122332,suri
